acc,accuracy,average_response_time,avg_rt,background,bidi,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,congruencia,coordinates,correct,correct_resp_log,correct_resposta_curto,correct_resposta_long,correct_resposta_simples,count_bemvindo,count_bissec_temp,count_espera0,count_espera0_log,count_espera_curto,count_espera_long,count_estimulo,count_estimulo_curto,count_estimulo_log,count_estimulo_long,count_fim_log,count_fix,count_fix_curto,count_fix_log,count_fix_long,count_loop_curto,count_loop_log_1,count_loop_long,count_loop_simples,count_new_feedback_2,count_new_feedback_3,count_new_logger,count_new_logger_1,count_new_reset_feedback,count_new_sampler,count_new_sampler_1,count_new_sampler_2,count_new_sampler_3,count_new_sketchpad_6,count_osweb,count_pausa,count_resp_log,count_resposta_curto,count_resposta_long,count_resposta_simples,count_save,count_save2,count_seq_curto,count_seq_log_1,count_seq_long,count_seq_simples,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,opensesame_codename,opensesame_version,queryParams_batchId,queryParams_personalMultipleWorkerId,repeat_cycle,resp_corr,resp_corr_log,response,response_bemvindo,response_new_feedback_2,response_new_feedback_3,response_new_sampler,response_new_sampler_1,response_new_sampler_2,response_new_sampler_3,response_new_sketchpad_6,response_pausa,response_resp_log,response_resposta_curto,response_resposta_long,response_resposta_simples,response_time,response_time_bemvindo,response_time_new_feedback_2,response_time_new_feedback_3,response_time_new_sampler,response_time_new_sampler_1,response_time_new_sampler_2,response_time_new_sampler_3,response_time_new_sketchpad_6,response_time_pausa,response_time_resp_log,response_time_resposta_curto,response_time_resposta_long,response_time_resposta_simples,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,tempo,tempo_log,time_bemvindo,time_espera0,time_espera0_log,time_espera_curto,time_espera_long,time_estimulo,time_estimulo_curto,time_estimulo_log,time_estimulo_long,time_fix,time_fix_curto,time_fix_log,time_fix_long,time_loop_curto,time_loop_log_1,time_loop_long,time_loop_simples,time_new_feedback_2,time_new_feedback_3,time_new_logger,time_new_logger_1,time_new_sampler,time_new_sampler_1,time_new_sampler_2,time_new_sampler_3,time_new_sketchpad_6,time_pausa,time_resp_log,time_resposta_curto,time_resposta_long,time_resposta_simples,time_save,time_save2,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,10352,10352,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,curto,uniform,1,,1,,,0,0,,,0,,,0,,,0,,0,,,0,0,0,0,,,0,,,,,0,,0,0,,,0,,,,,0,,,,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,q,,None,lalt,,,,,None,,lalt,,,q,,,533,2192,,,,,533,,2550,,,10352,,,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,500,,78,,,5856,,,5339,,,,4831,,,78,78,78,78,,,16749,,,,16216,,2271,,,5856,,,,,New experiment,1,10352,1,yes,1366
100,100,5227,5227,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,curto,uniform,1,,1,,,0,0,,,1,,,1,,,0,,1,,,0,0,0,0,,,1,,,,,1,,0,0,,,1,,,,,1,,,,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,q,,None,lalt,,,,,None,,lalt,,,q,,,517,2192,,,,,517,,2550,,,102,,,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,500,,78,,,17783,,,17267,,,,16756,,,78,78,78,78,,,18419,,,,17900,,2271,,,17783,,,,,New experiment,2,10454,2,yes,1366
100,100,3689,3689,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,curto,uniform,1,,1,,,0,0,,,2,,,2,,,0,,2,,,0,0,0,0,,,2,,,,,2,,0,0,,,2,,,,,2,,,,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,q,,None,lalt,,,,,None,,lalt,,,q,,,517,2192,,,,,517,,2550,,,612,,,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,500,,78,,,19435,,,18934,,,,18424,,,78,78,78,78,,,20569,,,,20052,,2271,,,19435,,,,,New experiment,3,11066,3,yes,1366
100,100,2969,2969,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,curto,uniform,1,,1,,,0,0,,,3,,,3,,,0,,3,,,0,0,0,0,,,3,,,,,3,,0,0,,,3,,,,,3,,,,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,q,,None,lalt,,,,,None,,lalt,,,q,,,517,2192,,,,,517,,2550,,,809,,,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,500,,78,,,21603,,,21086,,,,20575,,,78,78,78,78,,,22939,,,,22420,,2271,,,21603,,,,,New experiment,4,11875,4,yes,1366
100,100,2413,2413,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,curto,uniform,1,,1,,,0,0,,,4,,,4,,,0,,4,,,0,0,0,0,,,4,,,,,4,,0,0,,,4,,,,,4,,,,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,q,,None,lalt,,,,,None,,lalt,,,q,,,517,2192,,,,,517,,2550,,,192,,,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,500,,78,,,23972,,,23455,,,,22944,,,78,78,78,78,,,24689,,,,24172,,2271,,,23972,,,,,New experiment,5,12067,5,yes,1366
100,100,436,436,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,longo,uniform,1,,1,1,,0,0,,,4,0,,4,,0,0,,4,,0,0,0,0,0,0,,4,0,,,,4,0,0,0,,,4,0,,,,4,,0,,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,p,,None,lalt,space,,,,None,None,lalt,,,q,p,,518,2192,3435,,,,517,518,2550,,,192,436,,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,2000,,78,,,23972,30661,,23455,,28659,,22944,,28149,78,78,78,78,24696,,24689,31629,,,24172,31111,2271,,,23972,30661,,,,New experiment,1,436,1,yes,1366
100,100,339,339,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,longo,uniform,1,,1,1,,0,0,,,4,1,,4,,1,0,,4,,1,0,0,0,0,0,,4,1,,,,4,1,0,0,,,4,1,,,,4,,1,,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,p,,None,lalt,space,,,,None,None,lalt,,,q,p,,500,2192,3435,,,,517,500,2550,,,192,241,,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,2000,,78,,,23972,34148,,23455,,32147,,22944,,31636,78,78,78,78,24696,,24689,34909,,,24172,34398,2271,,,23972,34148,,,,New experiment,2,677,2,yes,1366
100,100,296,296,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,longo,uniform,1,,1,1,,0,0,,,4,2,,4,,2,0,,4,,2,0,0,0,0,0,,4,2,,,,4,2,0,0,,,4,2,,,,4,,2,,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,p,,None,lalt,space,,,,None,None,lalt,,,q,p,,517,2192,3435,,,,517,517,2550,,,192,210,,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,2000,,78,,,23972,37434,,23455,,35432,,22944,,34915,78,78,78,78,24696,,24689,38169,,,24172,37651,2271,,,23972,37434,,,,New experiment,3,887,3,yes,1366
100,100,316,316,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,longo,uniform,1,,1,1,,0,0,,,4,3,,4,,3,0,,4,,3,0,0,0,0,0,,4,3,,,,4,3,0,0,,,4,3,,,,4,,3,,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,p,,None,lalt,space,,,,None,None,lalt,,,q,p,,500,2192,3435,,,,517,500,2550,,,192,378,,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,2000,,78,,,23972,40704,,23455,,38686,,22944,,38174,78,78,78,78,24696,,24689,41599,,,24172,41087,2271,,,23972,40704,,,,New experiment,4,1265,4,yes,1366
100,100,292,292,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,longo,uniform,1,,1,1,,0,0,,,4,4,,4,,4,0,,4,,4,0,0,0,0,0,,4,4,,,,4,4,0,0,,,4,4,,,,4,,4,,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,p,,None,lalt,space,,,,None,None,lalt,,,q,p,,500,2192,3435,,,,517,500,2550,,,192,196,,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,2000,,78,,,23972,44123,,23455,,42121,,22944,,41606,78,78,78,78,24696,,24689,44839,,,24172,44323,2271,,,23972,44123,,,,New experiment,5,1461,5,yes,1366
